date;total_items_sold
2146-01-01;10537.0
2146-01-02;14107.0
2146-01-03;16092.0
2146-01-04;18050.0
2146-01-05;18456.0
2146-01-06;18366.0
2146-01-07;16167.0
2146-01-08;16601.0
2146-01-09;20853.0
2146-01-10;17283.0
2146-01-11;15284.0
2146-01-12;20552.0
2146-01-13;22001.0
2146-01-14;15276.0
2146-01-15;17905.0
2146-01-16;18633.0
2146-01-17;19940.0
2146-01-18;20201.0
2146-01-19;20884.0
2146-01-20;17296.0
2146-01-21;12234.0
2146-01-22;16804.0
2146-01-23;14086.0
2146-01-24;16368.0
2146-01-25;18344.0
2146-01-26;18230.0
2146-01-27;16781.0
2146-01-28;16065.0
2146-01-29;19118.0
2146-01-30;16714.0
2146-01-31;20279.0
2146-02-01;19228.0
2146-02-02;19777.0
2146-02-03;16720.0
2146-02-04;18003.0
2146-02-05;15649.0
2146-02-06;20141.0
2146-02-07;15851.0
2146-02-08;16916.0
2146-02-09;20050.0
2146-02-10;19698.0
2146-02-11;16448.0
2146-02-12;20704.0
2146-02-13;19952.0
2146-02-14;22557.0
2146-02-15;18728.0
2146-02-16;24309.0
2146-02-17;17817.0
2146-02-18;19058.0
2146-02-19;17802.0
2146-02-20;18597.0
2146-02-21;19756.0
2146-02-22;21369.0
2146-02-23;18049.0
2146-02-24;16187.0
2146-02-25;17434.0
2146-02-26;18581.0
2146-02-27;19889.0
2146-02-28;20417.0
2146-03-01;18279.0
2146-03-02;22095.0
2146-03-03;17035.0
2146-03-04;18238.0
2146-03-05;18542.0
2146-03-06;22143.0
2146-03-07;16825.0
2146-03-08;17855.0
2146-03-09;16595.0
2146-03-10;16556.0
2146-03-11;16577.0
2146-03-12;18698.0
2146-03-13;23587.0
2146-03-14;23716.0
2146-03-15;20918.0
2146-03-16;22151.0
2146-03-17;19538.0
2146-03-18;18243.0
2146-03-19;16649.0
2146-03-20;15644.0
2146-03-21;20060.0
2146-03-22;16289.0
2146-03-23;5606.0
2146-03-24;9433.0
2146-03-25;6561.0
2146-03-26;14895.0
2146-03-27;16939.0
2146-03-28;7617.0
2146-03-29;13967.0
2146-03-30;23624.0
2146-03-31;15968.0
2146-04-01;17167.0
2146-04-02;18061.0
2146-04-03;18724.0
2146-04-04;5655.0
2146-04-05;8984.0
2146-04-06;11121.0
2146-04-07;7667.0
2146-04-08;0.0
2146-04-09;0.0
2146-04-10;0.0
2146-04-11;0.0
2146-04-12;5567.0
2146-04-13;15696.0
2146-04-14;15910.0
2146-04-15;12269.0
2146-04-16;10337.0
2146-04-17;14002.0
2146-04-18;169.0
