v1;year_
569;1920
416;1921
422;1922
565;1923
484;1924
520;1925
573;1926
518;1927
501;1928
505;1929
468;1930
382;1931
310;1932
334;1933
359;1934
372;1935
439;1936
446;1937
349;1938
395;1939
461;1940
511;1941
583;1942
590;1943
620;1944
578;1945
534;1946
631;1947
600;1948
438;1949
516;1950
534;1951
467;1952
457;1953
392;1954
467;1955
500;1956
493;1957
410;1958
412;1959
416;1960
403;1961
422;1962
459;1963
467;1964
512;1965
534;1966
552;1967
545;1968
