CREST;COLGATE;CRESTPR;COLGATPR;WEEK_;DATE_
0.108;0.424;2.07;2.05;1;   1
0.166;0.482;2.17;2.1;2;   2
0.126;0.428;2.17;2.04;3;   3
0.115;0.397;2.07;1.96;4;   4
0.119;0.352;2.12;2.06;5;   5
0.176;0.342;2.05;2.01;6;   6
0.155;0.434;2.1;2.03;7;   7
0.118;0.445;2.07;2.09;8;   8
0.136;0.428;2.1;2.01;9;   9
0.137;0.395;2.14;2.04;10;  10
0.124;0.354;2.12;2.03;11;  11
0.131;0.497;2.05;2.07;12;  12
0.12;0.425;2.07;2.03;13;  13
0.133;0.401;2.12;2.04;14;  14
0.067;0.363;2.16;2.1;15;  15
0.086;0.341;2.17;2.06;16;  16
0.14;0.464;2.14;2.06;17;  17
0.122;0.431;2.01;2.01;18;  18
0.105;0.405;2.02;1.99;19;  19
0.079;0.46;2.1;2.01;20;  20
0.13;0.41;2.12;2.06;21;  21
0.142;0.423;2.13;1.94;22;  22
0.12;0.31;2.16;2.11;23;  23
0.115;0.413;2.09;2.05;24;  24
0.103;0.411;2.15;2.05;25;  25
0.078;0.452;2.11;2.05;26;  26
0.093;0.405;2.11;2.04;27;  27
0.086;0.29;2.05;2.02;28;  28
0.099;0.342;2.11;2.03;29;  29
0.078;0.311;2.17;2.03;30;  30
0.095;0.327;2.11;2.03;31;  31
0.094;0.413;2.07;2.04;32;  32
0.056;0.4;2.16;1.99;33;  33
0.05;0.38;2.01;1.94;34;  34
0.065;0.371;2.21;2.05;35;  35
0.091;0.344;2.08;2.09;36;  36
0.094;0.345;2.08;2.03;37;  37
0.124;0.363;2.12;2.07;38;  38
0.153;0.392;2.03;2.09;39;  39
0.078;0.379;2.14;2.07;40;  40
0.114;0.349;2.04;2.07;41;  41
0.088;0.337;2.17;2.1;42;  42
0.165;0.235;2.09;2.04;43;  43
0.16;0.25;2.11;2;44;  44
0.075;0.36;2;2.03;45;  45
0.118;0.282;1.95;2.06;46;  46
0.1;0.257;2.14;2.12;47;  47
0.102;0.345;2.09;1.99;48;  48
0.131;0.344;2.09;2.06;49;  49
0.148;0.358;2.03;2.11;50;  50
0.137;0.322;2.07;2.02;51;  51
0.09;0.332;2.17;1.99;52;  52
0.088;0.315;2.01;2.05;53;  53
0.172;0.316;1.94;2.01;54;  54
0.111;0.341;2.08;2.06;55;  55
0.097;0.387;2.17;2.13;56;  56
0.098;0.402;2.07;2.05;57;  57
0.09;0.347;2.18;2.12;58;  58
0.127;0.414;1.96;2;59;  59
0.116;0.426;2.14;2.03;60;  60
0.137;0.322;2.11;2.03;61;  61
0.111;0.372;2.11;2.05;62;  62
