crest;colgate;crestpr;colgatpr;week_;date_;step135;step136
0.108;0.424;2.07;2.05;1;   1;0;0
0.166;0.482;2.17;2.1;2;   2;0;0
0.126;0.428;2.17;2.04;3;   3;0;0
0.115;0.397;2.07;1.96;4;   4;0;0
0.119;0.352;2.12;2.06;5;   5;0;0
0.176;0.342;2.05;2.01;6;   6;0;0
0.155;0.434;2.1;2.03;7;   7;0;0
0.118;0.445;2.07;2.09;8;   8;0;0
0.136;0.428;2.1;2.01;9;   9;0;0
0.137;0.395;2.14;2.04;10;  10;0;0
0.124;0.354;2.12;2.03;11;  11;0;0
0.131;0.497;2.05;2.07;12;  12;0;0
0.12;0.425;2.07;2.03;13;  13;0;0
0.133;0.401;2.12;2.04;14;  14;0;0
0.067;0.363;2.16;2.1;15;  15;0;0
0.086;0.341;2.17;2.06;16;  16;0;0
0.14;0.464;2.14;2.06;17;  17;0;0
0.122;0.431;2.01;2.01;18;  18;0;0
0.105;0.405;2.02;1.99;19;  19;0;0
0.079;0.46;2.1;2.01;20;  20;0;0
0.13;0.41;2.12;2.06;21;  21;0;0
0.142;0.423;2.13;1.94;22;  22;0;0
0.12;0.31;2.16;2.11;23;  23;0;0
0.115;0.413;2.09;2.05;24;  24;0;0
0.103;0.411;2.15;2.05;25;  25;0;0
0.078;0.452;2.11;2.05;26;  26;0;0
0.093;0.405;2.11;2.04;27;  27;0;0
0.086;0.29;2.05;2.02;28;  28;0;0
0.099;0.342;2.11;2.03;29;  29;0;0
0.078;0.311;2.17;2.03;30;  30;0;0
0.095;0.327;2.11;2.03;31;  31;0;0
0.094;0.413;2.07;2.04;32;  32;0;0
0.056;0.4;2.16;1.99;33;  33;0;0
0.05;0.38;2.01;1.94;34;  34;0;0
0.065;0.371;2.21;2.05;35;  35;0;0
0.091;0.344;2.08;2.09;36;  36;0;0
0.094;0.345;2.08;2.03;37;  37;0;0
0.124;0.363;2.12;2.07;38;  38;0;0
0.153;0.392;2.03;2.09;39;  39;0;0
0.078;0.379;2.14;2.07;40;  40;0;0
0.114;0.349;2.04;2.07;41;  41;0;0
0.088;0.337;2.17;2.1;42;  42;0;0
0.165;0.235;2.09;2.04;43;  43;0;0
0.16;0.25;2.11;2;44;  44;0;0
0.075;0.36;2;2.03;45;  45;0;0
0.118;0.282;1.95;2.06;46;  46;0;0
0.1;0.257;2.14;2.12;47;  47;0;0
0.102;0.345;2.09;1.99;48;  48;0;0
0.131;0.344;2.09;2.06;49;  49;0;0
0.148;0.358;2.03;2.11;50;  50;0;0
0.137;0.322;2.07;2.02;51;  51;0;0
0.09;0.332;2.17;1.99;52;  52;0;0
0.088;0.315;2.01;2.05;53;  53;0;0
0.172;0.316;1.94;2.01;54;  54;0;0
0.111;0.341;2.08;2.06;55;  55;0;0
0.097;0.387;2.17;2.13;56;  56;0;0
0.098;0.402;2.07;2.05;57;  57;0;0
0.09;0.347;2.18;2.12;58;  58;0;0
0.127;0.414;1.96;2;59;  59;0;0
0.116;0.426;2.14;2.03;60;  60;0;0
0.137;0.322;2.11;2.03;61;  61;0;0
0.111;0.372;2.11;2.05;62;  62;0;0
0.107;0.381;2.1;2;63;  63;0;0
0.097;0.339;2.14;2.05;64;  64;0;0
0.134;0.405;2.1;2.04;65;  65;0;0
0.16;0.304;2.06;2.03;66;  66;0;0
0.147;0.439;2.13;1.99;67;  67;0;0
0.104;0.336;1.99;2.08;68;  68;0;0
0.128;0.405;2.07;2;69;  69;0;0
0.128;0.359;1.96;2.02;70;  70;0;0
0.165;0.379;2.02;1.98;71;  71;0;0
0.184;0.303;1.92;2.03;72;  72;0;0
0.172;0.34;1.86;1.93;73;  73;0;0
0.207;0.312;1.9;2.02;74;  74;0;0
0.221;0.291;1.89;1.96;75;  75;0;0
0.159;0.259;2.01;2.01;76;  76;0;0
0.198;0.342;1.93;2.03;77;  77;0;0
0.197;0.458;1.88;1.99;78;  78;0;0
0.251;0.275;1.92;2.07;79;  79;0;0
0.146;0.34;1.94;2.03;80;  80;0;0
0.133;0.385;2.01;1.98;81;  81;0;0
0.243;0.338;1.94;1.99;82;  82;0;0
0.192;0.37;1.94;1.99;83;  83;0;0
0.15;0.29;1.92;2.02;84;  84;0;0
0.221;0.325;1.89;2.1;85;  85;0;0
0.183;0.337;2.02;2.04;86;  86;0;0
0.136;0.338;2.01;1.94;87;  87;0;0
0.206;0.323;1.97;2.06;88;  88;0;0
0.127;0.357;1.97;1.95;89;  89;0;0
0.139;0.381;1.89;2.06;90;  90;0;0
0.189;0.371;2.03;1.97;91;  91;0;0
0.194;0.294;2.03;2.06;92;  92;0;0
0.114;0.384;1.98;2.02;93;  93;0;0
0.229;0.286;1.97;2.03;94;  94;0;0
0.148;0.335;2.02;2.05;95;  95;0;0
0.155;0.31;2.03;2;96;  96;0;0
0.106;0.304;2.06;2;97;  97;0;0
0.156;0.305;2.1;1.99;98;  98;0;0
0.053;0.403;2.07;1.98;99;  99;0;0
0.112;0.365;1.86;1.99;100; 100;0;0
0.084;0.305;1.99;1.93;101; 101;0;0
0.191;0.172;2.01;1.99;102; 102;0;0
0.149;0.321;2.07;1.97;103; 103;0;0
0.143;0.343;2.11;2.07;104; 104;0;0
0.094;0.354;2.08;1.97;105; 105;0;0
0.184;0.316;2.08;1.99;106; 106;0;0
0.205;0.292;2.08;1.86;107; 107;0;0
0.206;0.305;2.07;2.03;108; 108;0;0
0.191;0.294;2.13;2;109; 109;0;0
0.195;0.289;2.1;1.95;110; 110;0;0
0.179;0.301;2.08;1.94;111; 111;0;0
0.272;0.304;2.09;2.02;112; 112;0;0
0.203;0.306;2.09;1.94;113; 113;0;0
0.165;0.405;2.05;2.01;114; 114;0;0
0.138;0.344;2.02;1.87;115; 115;0;0
0.216;0.353;2.1;1.97;116; 116;0;0
